,pursuer,victim,coefficient
0,AE1783BO,AE0628BK,1.0
1,AE2319CA,AE2375,1.0
2,AE7178AA,AFI747,1.0
3,AE8203BK,AE2410KA,1.0
4,18166AE,AE0025AP,1.0
5,AE7848IO,AE9575KB,1.0
6,AP0811CO,AE5881,1.0
7,DLW47NY,DLW47N1,1.0
8,AE3263BA,Е3263ВІ,0.9411764705882353
9,AE4562KB,AE0205KO,0.8888888888888888
10,AE8919,AE6599CP,0.875
11,AA5100,AA510CM,0.875
12,76527AB,JC2925,0.875
13,AE8919,AE8919HO,0.875
14,AE1740BO,AE1594IP,0.875
15,AE1261AB,AE0331,0.8571428571428571
16,AE1467AB,00011TO,0.8571428571428571
17,AE0331,AE1261AB,0.8571428571428571
18,AE5508IA,AE5508,0.8571428571428571
19,AE8660PA,AE2007HH,0.8571428571428571
20,AE1821,AE9262,0.8571428571428571
21,AF2492,AE2492,0.8333333333333334
22,AE2492,AF2492,0.8333333333333334
23,XE4876,AE8882AA,0.8333333333333334
24,AE5901,IIE5901,0.8333333333333334
25,HAFOP01,AFOPI4,0.8333333333333334
26,AA0825,AAOB25,0.8333333333333334
27,AA0825,AE7003HP,0.8333333333333334
28,AE8448,72331CC,0.8333333333333334
29,AE8448,AI8448,0.8333333333333334
30,AE6633AK,AE4724IA,0.8333333333333334
31,AE2207HK,XE2207HK,0.8333333333333334
32,AE4690,С4690ІМ,0.8333333333333334
33,AE2837KO,AE7302,0.8125
34,AE3574AA,AE5337CE,0.8
35,AE1129EX,AE0114EC,0.8
36,BT8149AO,AE0267EP,0.8
37,AE1538BK,AE0624IC,0.8
38,AA0691IM,AE5970IM,0.8
39,AE7373CP,AE4929CO,0.8
40,AE9480IP,С4113ІА,0.8
41,AE8213EM,AE8213EP,0.8
42,AE0751AB,AE0270IH,0.8
43,AE5693,AE5693CB,0.8
44,AE1364CK,AE3327BK,0.8
45,AE6052CI,AE2985HE,0.8
46,AE5943IC,AE1551HH,0.8
47,AE0759AE,AE9330CK,0.8
48,AE1428KE,AEO064,0.8
49,AE1605AB,AE9090AK,0.8
50,AE7959,AE5867,0.8
51,AE3467HK,CB8626AC,0.8
52,7777Х7,7227К7,0.8
53,AE0068BK,AE7892CT,0.8
54,AE0947AB,AE4884AE,0.8
55,AE8171,AE0401BP,0.8
56,AE7030EK,AE2883CI,0.8
57,AE5063EI,AE1931ET,0.8
58,AE7957IB,AE0078IC,0.8
59,AE0614HC,AE2590IM,0.8
60,С7483ЕК,AE7483EK,0.8
61,AE7999II,AE5713KC,0.8
62,AE2302AB,AE4932IA,0.8
63,AE0616HC,AP4709EK,0.8
64,AE8303AE,AE0577KO,0.8
65,AE6414EP,AE4856CM,0.8
66,AE9910IT,AX6329EX,0.8
67,AI8676CT,AE7441KC,0.8
68,AE8552IT,AE4544IM,0.8
69,AE1559HP,AF1559,0.8
70,AE1559HP,AE1559IH,0.8
71,AE1639AB,BT6848AO,0.8
72,AA0639MA,AE7145IH,0.8
73,AE8397AA,AE7751,0.8
