,pursuer,victim,coefficient
0,MMH61,BMH61,0.9819277108433735
1,MMH61,HMH61,0.9090909090909091
2,AE9584,AE9584BX,0.9
3,AE2972AC,AA6961PT,0.8
4,AE2523BA,К4166СР,0.8
5,AE5930,AES9301,0.7994428969359332
6,BMH61,MMH61,0.7980769230769231
7,AH0594II,AFH0594,0.7777777777777778
8,AFH0594,AH0594II,0.7777777777777778
9,AE5646,YAE5646,0.7692307692307693
10,AE0053BH,AE1678IA,0.75
11,AE8537EP,AE1982IX,0.75
12,BI2795AP,AE4564IA,0.75
13,AE5197ET,AE5197,0.75
14,AE5658HA,AE1887CE,0.75
15,AI3819,AE5850,0.75
16,AE9663IH,AE1530KO,0.75
17,AA1476,AA1476HK,0.75
18,EB346,AE8138,0.75
19,AE2523BA,Е2523ВА,0.7227722772277227
20,AE5930,AES93,0.7222222222222222
21,AE5686IM,AE1881BB,0.7142857142857143
22,AE5930,AIE593,0.6934673366834171
23,AE9584EA,AE9895BA,0.6666666666666666
24,AE2523BA,09507HE,0.6666666666666666
25,AE2523BA,К6166СР,0.6461538461538462
26,AE2523BA,С2523ВА,0.64
27,YAE5646,AE5646,0.6363636363636364
28,AE1982IX,AE8537EP,0.631578947368421
29,EB346,AE8346,0.6
30,AE1887CE,AE5658HA,0.6
31,AE1366AB,AA9758XA,0.6
32,AE8987IO,AE6556IB,0.6
33,AE0635HA,AE2967HX,0.6
34,AE8987IO,XE8987IO,0.6
35,AE8987IO,IIAE6556,0.6
36,AE6523HE,AE9357EI,0.5833333333333334
37,AE9357EI,AE6523HE,0.5833333333333334
38,AE9394EI,AE4470IO,0.5714285714285714
39,AE2523BA,OP87721,0.56
40,AE2010,AE2010IO,0.5555555555555556
41,AE2010,MAE200,0.5555555555555556
42,AE2010,BAE200,0.5555555555555556
43,AE5930,AE0396IE,0.5454545454545454
44,AE2523BA,AE8641PA,0.5454545454545454
45,AE2885IX,AE2885,0.5384615384615384
46,AES9301,AE5930,0.5221238938053098
47,AE9790HP,AE4454HK,0.5
48,IE4044EI,AH6774HO,0.5
49,IE4044EI,AFH6774,0.5
50,AE2998HC,AE3031AT,0.5
51,XE9425CE,69645AP,0.5
52,AE1283,AE1283KE,0.5
53,AE1283,XE1283KE,0.5
54,AE1283,С1203РС,0.5
55,AE0123KX,AE3512HC,0.4666666666666667
56,AE2523BA,AE6700IH,0.4666666666666667
57,AE9584BK,AE8293HI,0.46153846153846156
58,AE8523BX,AE6807HO,0.4444444444444444
59,AE4470IO,AE9394EI,0.4444444444444444
60,AE5930,AH1932IM,0.4444444444444444
61,AE2523BA,AH3468OC,0.4444444444444444
62,AE1510AI,AE4086,0.4444444444444444
63,AE9584BX,AE9584,0.43333333333333335
64,AE9584BK,AE9584,0.43333333333333335
65,AE772AA,AE792AA,0.42857142857142855
66,AE3343,AE9402EP,0.42857142857142855
67,35602AE,AE3343,0.42857142857142855
68,AE2624IC,AA9649TB,0.42857142857142855
69,AE8523BX,AE4995BO,0.4
70,AE5930,AE0717CA,0.4
71,AFH6774,IE4044EI,0.4
72,AH6774HO,IE4044EI,0.4
73,AE3031AT,AE2998HC,0.4
74,AE9857BB,AE0767AI,0.4
75,AE8277,AE8277EB,0.39215686274509803
76,AE2232AK,AE5945IP,0.38461538461538464
77,Е2523ВА,AE2523BA,0.3769230769230769
78,AE2148CO,AE2997BE,0.375
79,AE8681PA,AE4241EP,0.375
80,AE3343,AE1124AB,0.375
81,AE4086,AE1510AI,0.375
82,AE3953AA,AE2030CX,0.3684210526315789
83,AE9492HX,AE0022IB,0.36363636363636365
84,BE1369BH,AE5828EK,0.36363636363636365
85,AE9790HP,88815AB,0.36363636363636365
86,AE0840AB,AE7472HB,0.36363636363636365
87,AE0767AI,AE9857BB,0.36363636363636365
88,AE7251KC,WPIKM90,0.36363636363636365
89,AE3403KA,AE3007CI,0.35294117647058826
90,AE2030CX,AE3953AA,0.35
91,AE8277EB,AE8277,0.35
92,AA9649TB,AE2624IC,0.3333333333333333
93,AE5688ET,AE1219AB,0.3333333333333333
94,AE3483KA,AA2866IB,0.3333333333333333
95,AE2010,AE9210HO,0.3333333333333333
96,AE2997BE,AE2148CO,0.3333333333333333
97,AE4676KC,AE6480IH,0.3333333333333333
98,AE4843CM,AE4843CA,0.3333333333333333
99,AE1242,AE4843CA,0.3333333333333333
100,С0172АХ,Г0172АХ,0.325
101,AE9843HX,AE7792AA,0.3181818181818182
102,AE7792AA,AE9843HX,0.3181818181818182
103,AE7055BO,AE3449CK,0.3125
104,С0172АХ,EO172AX,0.31212484993997597
105,AE0123KX,AE5775AK,0.3076923076923077
106,AE3512HC,AE5775AK,0.3076923076923077
107,AE0022IB,AE9492HX,0.3076923076923077
108,AA2866IB,AE3483KA,0.3076923076923077
109,AE5828EK,BE1369BH,0.3076923076923077
110,AE8490HB,AE3128EI,0.3076923076923077
111,CA2477AP,AE5110KB,0.3076923076923077
112,WPIKM90,AE7251KC,0.3076923076923077
113,AE0922BH,AE5260HI,0.3
114,AE1607KC,AE0802HH,0.3
115,С0172АХ,Е0172АХ,0.2907608695652174
116,AE9584,AE9584BK,0.2903225806451613
117,AE7472HB,AE0840AB,0.2857142857142857
118,AE3590KC,AE3736IH,0.2857142857142857
119,С0172АХ,AE017AX,0.2759067357512953
120,AE5825KA,AE6002EI,0.2727272727272727
121,AE7737BO,AE0137EH,0.2727272727272727
122,AE1681KO,AE0137EH,0.2727272727272727
123,AE0108BE,AE0079IA,0.2727272727272727
124,AE1201KM,AE5358AA,0.2727272727272727
125,AE5260HI,AE0922BH,0.2727272727272727
126,AE7055BO,AE2104,0.2727272727272727
127,AE7055,AE2104,0.2727272727272727
128,AE4843CM,AE1242,0.2727272727272727
129,AE4843CA,AE1242,0.2727272727272727
130,AE6024IT,AE7745IH,0.2727272727272727
131,AE7055BO,AE0154CI,0.2727272727272727
132,AE7055,AE0154CI,0.2727272727272727
133,С0172АХ,AO172,0.27
134,AE3512HC,AE0123KX,0.2692307692307692
135,AE1136BO,AE8947KA,0.26666666666666666
136,AE6694IO,AE2702KA,0.26666666666666666
137,AE0110HH,AE7996IP,0.26666666666666666
138,AE1219AB,AE5688ET,0.26666666666666666
139,AE4539AX,AE2234AT,0.26666666666666666
140,AE5516HE,AE5125EP,0.26666666666666666
141,AE2969HA,AE5125EP,0.26666666666666666
142,AE5125EP,AE2969HA,0.26666666666666666
143,AE4843CA,AE4843CM,0.26666666666666666
144,AE1242,AE4843CM,0.26666666666666666
145,AIE593,AE5930,0.26548672566371684
146,С0172АХ,AE0172AX,0.2571428571428571
147,С0172АХ,AEO17,0.25
148,EO172AX,Г0172АХ,0.25
149,AE0881EM,AE7010BE,0.25
150,AE7010BE,AE0881EM,0.25
151,AE2010,AE5623HA,0.25
152,AE8425KB,AE5572IB,0.25
153,FZM088,AE2551AB,0.25
154,AE6002EI,AE5825KA,0.25
155,AE8947KA,AE1136BO,0.25
156,AE2551AB,FZM088,0.25
157,AE3128EI,AE8490HB,0.25
158,AE4511KA,AE0170AK,0.25
159,AE0385KO,AE0141CP,0.25
160,AE4843CM,KDN12,0.25
161,AE1242,KDN12,0.25
162,36097AE,AE7800HH,0.25
163,AE7266EK,AE4958EP,0.25
164,AE8277,AE3449CK,0.25
165,AE1366KE,AE5157IC,0.23529411764705882
166,AA3984MC,AE5157IC,0.23529411764705882
167,AA4936TI,AE7635CT,0.23529411764705882
168,AE9895BA,AE9584EA,0.23529411764705882
169,AE7800HH,36097AE,0.23529411764705882
170,AE6785BH,AE2041EE,0.23529411764705882
171,AE5110KB,CA2477AP,0.23529411764705882
172,EO172AX,С0172АХ,0.23524069028156222
173,К4166СР,AE2523BA,0.23076923076923078
174,AE1517AB,AE1203AB,0.23076923076923078
175,AE1073IH,AE6038AT,0.23076923076923078
176,AE7055BO,AE7053,0.23076923076923078
177,AE7055,AE7053,0.23076923076923078
178,С0172АХ,EO172,0.22727272727272727
179,EO172AX,AEO17,0.2222222222222222
180,AE7996IP,AE0110HH,0.2222222222222222
181,AE5572IB,AE5592IT,0.2222222222222222
182,AE8681PA,AE2673AA,0.2222222222222222
183,AE0152EO,AP8290EB,0.2222222222222222
184,AX7865EP,AP8290EB,0.2222222222222222
185,AE8428AA,AE3300IT,0.2222222222222222
186,С0172АХ,AE0172,0.21893491124260356
187,AE8425KB,AE5351AA,0.21875
188,AE5572IB,AE8425KB,0.21875
189,AE5351AA,AE8425KB,0.21875
190,AX7865EP,AE0152EO,0.21875
191,Е2523ВА,К6166СР,0.2153846153846154
192,AE0802HH,AE1607KC,0.21428571428571427
193,AE7745IH,AE6024IT,0.21428571428571427
194,AE7055BO,AE7055,0.21428571428571427
195,AE0152EO,AX7865EP,0.21212121212121213
196,AES9301,AIE593,0.21105527638190955
197,AE3016EE,AE3130IA,0.21052631578947367
198,AE7856HK,AE6688EE,0.21052631578947367
199,AE2814IM,AE3348IC,0.21052631578947367
200,AE6688EE,AE7856HK,0.21052631578947367
201,AE3348IC,AE2814IM,0.21052631578947367
202,AE7055BO,BT8332BM,0.21052631578947367
203,AE8277,BT8332BM,0.21052631578947367
204,AE7083KB,AE8747IC,0.21052631578947367
205,AE7909EP,AE8747IC,0.21052631578947367
206,AE4578HP,AE3769HO,0.20454545454545456
207,С0172АХ,AG017AX,0.20408163265306123
208,EO172AX,Е0172АХ,0.20108695652173914
209,EO172AX,AE0172AX,0.2
210,AE3130IA,AE3016EE,0.2
211,AE5665CI,AE9150IT,0.2
212,AE0240EA,AE9150IT,0.2
213,AA8573IM,AE1150IB,0.2
214,AE8425KB,AE9344HX,0.2
215,AE5351AA,AE9344HX,0.2
216,AE6480IH,AE4676KC,0.2
217,AE0141CP,AE0385KO,0.2
218,AE8747IC,AE7909EP,0.2
219,AE7083KB,AE7909EP,0.2
220,С0172АХ,AE012AX,0.19428571428571428
221,AE8293HI,AE9584BK,0.1935483870967742
222,AE5611IO,AE7465CB,0.1935483870967742
223,AE017AX,С0172АХ,0.19255222524977295
224,AE7471CB,AE4434BI,0.19047619047619047
225,AE6069KC,AE6091CT,0.19047619047619047
226,AE2700AH,AE8138EP,0.19047619047619047
227,AE3300IT,AE8428AA,0.19047619047619047
228,AE5125EP,AE5516HE,0.19047619047619047
229,AE8747IC,AE7083KB,0.19047619047619047
230,AE7909EP,AE7083KB,0.19047619047619047
231,BA4430BO,AE1238KA,0.19047619047619047
232,AE0076BT,AP1748EB,0.1875
233,AE9079HT,AE1138HE,0.1875
234,AE5945IP,AE2232AK,0.1875
235,AE2064HE,AE0870IP,0.1875
236,AE2969HA,AE3275HH,0.1875
237,AE7465CB,AE5611IO,0.1875
238,С0172АХ,FO172,0.18604651162790697
239,AE017AX,FO172,0.18604651162790697
240,AE017AX,AE0172,0.1854043392504931
241,AE017AX,AE012AX,0.18285714285714286
242,AE017AX,EO172,0.18181818181818182
243,AE4061IX,AE5849CE,0.18181818181818182
244,AE1965BP,AE4854IC,0.18181818181818182
245,AE5667HO,AE3602CB,0.18181818181818182
246,AE0152EO,AE1897KC,0.18181818181818182
247,AX7865EP,AE1897KC,0.18181818181818182
248,AE3343,35602AE,0.1791044776119403
249,EO172AX,AO172,0.17857142857142858
250,AE8277EB,AE7055,0.17857142857142858
251,AE8277,AE7055,0.17857142857142858
252,AE1203AB,AE1517AB,0.17647058823529413
253,AE4434BI,AE7471CB,0.17391304347826086
254,AE5665CI,AE0240EA,0.17391304347826086
255,AE9150IT,AE0240EA,0.17391304347826086
256,AE9905AA,AE0240EA,0.17391304347826086
257,AE6763IE,AE5350EH,0.17391304347826086
258,AE9905AA,AE0055KB,0.17391304347826086
259,AE7182HH,AE1068BM,0.17391304347826086
260,AE5230AH,AA3374TE,0.17391304347826086
261,EO172AX,AE0172,0.17357001972386588
262,0717,AE3308HO,0.1724137931034483
263,AE3769HO,AE4578HP,0.1724137931034483
264,AE017AX,AO172,0.17142857142857143
265,AO172,С0172АХ,0.17075386012715713
266,AE2784ET,DEU520,0.17073170731707318
267,EO172AX,AE017AX,0.16968911917098445
268,AE6091CT,AE6069KC,0.16666666666666666
269,AE5665CI,AE9905AA,0.16666666666666666
270,AE0240EA,AE9905AA,0.16666666666666666
271,AE0055KB,AE9905AA,0.16666666666666666
272,AX9505CE,AE2264BB,0.16666666666666666
273,AE1138HE,AE9079HT,0.16666666666666666
274,AE5157IC,AA3984MC,0.16666666666666666
275,AE1366KE,AA3984MC,0.16666666666666666
276,AE0960HM,AE8822AE,0.16666666666666666
277,AE9472EI,AE1881IO,0.16666666666666666
278,AE017AX,AG017AX,0.16326530612244897
279,AE1238KA,BA4430BO,0.16
280,AE7055,AE7055BO,0.16
281,AE7179CH,AE2002HX,0.16
282,AE0240EA,AE5665CI,0.16
283,AE9150IT,AE5665CI,0.16
284,AE9905AA,AE5665CI,0.16
285,AE4061IX,AE5241IE,0.16
286,AE3128CI,HFB567,0.16
287,AA3374TE,AE5230AH,0.16
288,AA3374TE,AE0880CT,0.15789473684210525
289,AE5230AH,AE0880CT,0.15789473684210525
290,AE2756IP,AE8345HO,0.15789473684210525
291,AE1150IB,AA8573IM,0.15789473684210525
292,AE017AX,EO172AX,0.15726290516206481
293,AO172,AE017AX,0.15544041450777202
294,AE017AX,Е0172АХ,0.15489130434782608
295,AE2002HX,AE7179CH,0.15384615384615385
296,AE5775AK,AE0123KX,0.15384615384615385
297,AE3736IH,AE3590KC,0.15384615384615385
298,AE1068BM,AE7182HH,0.15384615384615385
299,AO172,AEO17,0.1527777777777778
300,AO172,EO172AX,0.15006002400960383
301,AE3602CB,AE7089HA,0.15
302,AE5667HO,AE7089HA,0.15
303,AE7055,AE8277,0.15
304,DEU520,AE2784ET,0.14893617021276595
